execution_index,observation_id,strategy,length_level,document_repetition,chain_position,success,error_type,latency_ms,prompt_tokens,cached_tokens,cache_creation_input_tokens,completion_tokens,total_tokens,equivalent_input_token_cost,response_id,finish_reason
1,cold_control-L2-d2-q1,cold_control,L2,2,1,True,,1931.729,6020,0,,24,6044,6020.0,chatcmpl-150c1f0f-f983-99f2-a9dc-fcd1929e79d2,stop
2,cold_control-L2-d2-q2,cold_control,L2,2,2,True,,1815.012,6021,0,,23,6044,6021.0,chatcmpl-3b1cadeb-e9ff-9b13-944e-d4b127c7b80f,stop
3,cold_control-L2-d2-q3,cold_control,L2,2,3,True,,2001.371,6023,0,,28,6051,6023.0,chatcmpl-e74cf9d3-b0f9-9a48-abbb-d1a0f71d5924,stop
4,explicit-L3-d2-q1,explicit,L3,2,1,True,,3111.511,9981,0,9951,24,10005,12468.75,chatcmpl-2dd2c983-ef43-97e1-aa33-9fe11c76bfc9,stop
5,explicit-L3-d2-q2,explicit,L3,2,2,True,,1103.24,9981,9951,0,23,10004,1025.1,chatcmpl-7fd469a9-4c9b-9ddd-933e-dc5967ca32c5,stop
6,explicit-L3-d2-q3,explicit,L3,2,3,True,,910.854,9981,9951,0,25,10006,1025.1,chatcmpl-c58f48e0-84f8-9429-9c65-177af3506523,stop
7,implicit-L1-d2-q1,implicit,L1,2,1,True,,948.654,1989,0,,24,2013,1989.0,chatcmpl-daecbc46-c0bb-94d5-a389-76947f912db6,stop
8,implicit-L1-d2-q2,implicit,L1,2,2,True,,699.272,1989,768,,23,2012,1374.6,chatcmpl-885b59b8-919d-9e31-8207-24a8f9e81b44,stop
9,implicit-L1-d2-q3,implicit,L1,2,3,True,,744.459,1989,768,,25,2014,1374.6,chatcmpl-48b792d9-2e38-95c4-bc53-54a48eb164e7,stop
10,implicit-L1-d1-q1,implicit,L1,1,1,True,,934.819,1986,0,,24,2010,1986.0,chatcmpl-e7f61425-b551-9fe5-bad2-ec2acfe8a725,stop
11,implicit-L1-d1-q2,implicit,L1,1,2,True,,784.931,1986,768,,23,2009,1371.6,chatcmpl-52ad06bb-9f8a-99b2-9c3a-a97e1377442b,stop
12,implicit-L1-d1-q3,implicit,L1,1,3,True,,746.787,1986,768,,25,2011,1371.6,chatcmpl-6ddc09e0-775f-93a2-a0d0-fe1e236b0051,stop
13,cold_control-L3-d2-q1,cold_control,L3,2,1,True,,3114.385,9980,0,,27,10007,9980.0,chatcmpl-c1b0f48c-12ff-97c8-af5e-d30857e166df,stop
14,cold_control-L3-d2-q2,cold_control,L3,2,2,True,,3102.02,9976,0,,26,10002,9976.0,chatcmpl-eab27f21-0442-994c-899f-3819f5a17582,stop
15,cold_control-L3-d2-q3,cold_control,L3,2,3,True,,3121.666,9977,0,,28,10005,9977.0,chatcmpl-03c03da2-a201-9bc6-b793-2799768302f4,stop
16,cold_control-L2-d1-q1,cold_control,L2,1,1,True,,2164.532,6027,0,,27,6054,6027.0,chatcmpl-cf58feea-cad4-9b5d-8faf-474ca2cb35a1,stop
17,cold_control-L2-d1-q2,cold_control,L2,1,2,True,,1772.201,6027,0,,26,6053,6027.0,chatcmpl-8f0c7273-53a3-9919-a8f6-733574c2e986,stop
18,cold_control-L2-d1-q3,cold_control,L2,1,3,True,,1838.426,6026,0,,25,6051,6026.0,chatcmpl-bb7298ce-a1e0-9975-8b82-2bd0c99d5817,stop
19,explicit-L1-d2-q1,explicit,L1,2,1,True,,851.057,1989,0,1959,24,2013,2478.75,chatcmpl-e169672e-8834-93a1-af00-49875c907a88,stop
20,explicit-L1-d2-q2,explicit,L1,2,2,True,,812.977,1989,1959,0,23,2012,225.9,chatcmpl-f9f3e3cc-f7cf-939a-baac-dbc6e1153c5b,stop
21,explicit-L1-d2-q3,explicit,L1,2,3,True,,814.484,1989,1959,0,25,2014,225.9,chatcmpl-7b92e6e2-030c-9c0d-ab2d-90d8a57d3c59,stop
22,implicit-L3-d1-q1,implicit,L3,1,1,True,,2700.001,9998,0,,24,10022,9998.0,chatcmpl-16256f47-b337-956a-86ea-2ae014e6f923,stop
23,implicit-L3-d1-q2,implicit,L3,1,2,True,,1083.079,9998,7424,,23,10021,4058.8,chatcmpl-971cb419-0d0d-9ad2-b8b8-303752083707,stop
24,implicit-L3-d1-q3,implicit,L3,1,3,True,,1055.604,9998,7424,,25,10023,4058.8,chatcmpl-ad1520dc-51dd-9d47-8a6a-73496b1afb0d,stop
25,explicit-L1-d1-q1,explicit,L1,1,1,True,,834.958,1986,0,1956,24,2010,2475.0,chatcmpl-9ec65bde-bd20-9329-9f6a-fdfebbbb31e0,stop
26,explicit-L1-d1-q2,explicit,L1,1,2,True,,748.639,1986,1956,0,23,2009,225.60000000000002,chatcmpl-39233529-0f93-9f05-a0e5-ea2ef40d7b8b,stop
27,explicit-L1-d1-q3,explicit,L1,1,3,True,,728.178,1986,1956,0,25,2011,225.60000000000002,chatcmpl-5cce2027-ab84-97a5-9236-2defd97d4aa5,stop
28,cold_control-L3-d1-q1,cold_control,L3,1,1,True,,2772.912,9994,0,,24,10018,9994.0,chatcmpl-ac9baab0-30ca-9483-97d5-6fdc27ca739a,stop
29,cold_control-L3-d1-q2,cold_control,L3,1,2,True,,2626.346,9996,0,,23,10019,9996.0,chatcmpl-98ce4200-d7f2-99df-be5b-5b6361b7e028,stop
30,cold_control-L3-d1-q3,cold_control,L3,1,3,True,,3110.347,9994,0,,28,10022,9994.0,chatcmpl-23895dbf-58f7-9142-84f4-e0e8b8e99302,stop
31,implicit-L2-d1-q1,implicit,L2,1,1,True,,1801.039,6029,0,,24,6053,6029.0,chatcmpl-72e3219c-573d-9ee3-a8e5-3813942ae0a2,stop
32,implicit-L2-d1-q2,implicit,L2,1,2,True,,866.625,6029,4992,,23,6052,2035.4,chatcmpl-4730c12c-1cee-9106-adb3-d7b00fde83dd,stop
33,implicit-L2-d1-q3,implicit,L2,1,3,True,,1200.061,6029,4992,,25,6054,2035.4,chatcmpl-2ec40f5e-f606-948f-97c4-6d43a63dc452,stop
34,explicit-L2-d2-q1,explicit,L2,2,1,True,,2054.051,6025,0,5995,24,6049,7523.75,chatcmpl-a8b514b9-6b34-9791-a402-fae11e443961,stop
35,explicit-L2-d2-q2,explicit,L2,2,2,True,,769.797,6025,5995,0,23,6048,629.5,chatcmpl-dff5818b-8735-922b-98c4-69911ba8b559,stop
36,explicit-L2-d2-q3,explicit,L2,2,3,True,,800.335,6025,5995,0,28,6053,629.5,chatcmpl-980253f4-d4dc-93b3-97a7-f6efff92a9ab,stop
37,cold_control-L1-d1-q1,cold_control,L1,1,1,True,,924.689,1983,0,,24,2007,1983.0,chatcmpl-aedfbde7-6caf-9483-9c06-0bd6a715c4d5,stop
38,cold_control-L1-d1-q2,cold_control,L1,1,2,True,,1404.155,1981,0,,23,2004,1981.0,chatcmpl-0728caff-1812-9b26-8aa3-b701e54e9f6d,stop
39,cold_control-L1-d1-q3,cold_control,L1,1,3,True,,1215.715,1979,0,,25,2004,1979.0,chatcmpl-3a72dacf-ded3-9546-8fb0-862a849e569a,stop
40,cold_control-L1-d2-q1,cold_control,L1,2,1,True,,1044.955,1985,0,,24,2009,1985.0,chatcmpl-b4a8dde7-879b-9258-8ba3-6faa4cf9ad29,stop
41,cold_control-L1-d2-q2,cold_control,L1,2,2,True,,1015.309,1984,0,,23,2007,1984.0,chatcmpl-8c7a56fd-4a04-9e5d-a420-a687f155ff93,stop
42,cold_control-L1-d2-q3,cold_control,L1,2,3,True,,1058.844,1983,0,,25,2008,1983.0,chatcmpl-54aac2c7-ecdd-9a5c-8677-2c2cb92aa58f,stop
43,explicit-L3-d1-q1,explicit,L3,1,1,True,,846.268,9998,0,9968,24,10022,12490.0,chatcmpl-725fb781-90c7-9f3b-8261-9f3fe2c71284,stop
44,explicit-L3-d1-q2,explicit,L3,1,2,True,,842.55,9998,9968,0,23,10021,1026.8000000000002,chatcmpl-73ba18b6-de6f-9081-a7a1-b7746c43c6d8,stop
45,explicit-L3-d1-q3,explicit,L3,1,3,True,,762.801,9998,9968,0,25,10023,1026.8000000000002,chatcmpl-7a3b29a1-14f2-9ed1-87ad-3e3076644415,stop
46,explicit-L2-d1-q1,explicit,L2,1,1,True,,770.484,6029,0,5999,24,6053,7528.75,chatcmpl-018cb256-cf32-9e02-bf5d-58513450c2bf,stop
47,explicit-L2-d1-q2,explicit,L2,1,2,True,,696.644,6029,5999,0,23,6052,629.9,chatcmpl-552a2c27-ddf8-9f54-a1a1-cba4d60be787,stop
48,explicit-L2-d1-q3,explicit,L2,1,3,True,,751.544,6029,5999,0,25,6054,629.9,chatcmpl-02ad4bc0-231b-9c3a-8871-fdb1157eb74d,stop
49,implicit-L2-d2-q1,implicit,L2,2,1,True,,808.488,6025,4992,,24,6049,2031.4,chatcmpl-dd435fb7-7539-946d-b475-7dda5687d6b3,stop
50,implicit-L2-d2-q2,implicit,L2,2,2,True,,789.829,6025,4992,,23,6048,2031.4,chatcmpl-8fb61031-194c-9b92-a72e-12dc4d51bf10,stop
51,implicit-L2-d2-q3,implicit,L2,2,3,True,,833.628,6025,4992,,28,6053,2031.4,chatcmpl-5cf93647-ad3c-9a3c-a31b-b8553a09185e,stop
52,implicit-L3-d2-q1,implicit,L3,2,1,True,,963.694,9981,8320,,24,10005,3325.0,chatcmpl-18f94367-1271-9cf6-aa3f-385a4633912a,stop
53,implicit-L3-d2-q2,implicit,L3,2,2,True,,911.703,9981,8320,,23,10004,3325.0,chatcmpl-35e8aaeb-402e-9744-9f70-086185cc607d,stop
54,implicit-L3-d2-q3,implicit,L3,2,3,True,,1014.33,9981,8320,,25,10006,3325.0,chatcmpl-ac7517fe-5618-9d1d-9293-47169ac50efe,stop
